"","Location","detection_prob_mean","detection_prob_sd","infection_prob_mean","infection_prob_sd","2009_mean","2009_sd","2010_mean","2010_sd","2011_mean","2011_sd","2012_mean","2012_sd","2013_mean","2013_sd","2014_mean","2014_sd","2015_mean","2015_sd","2016_mean","2016_sd","2017_mean","2017_sd","2018_mean","2018_sd"
"11","New_Gloucester",0.452917849298855,0.251100783430039,0.00526996065187113,0.00436808796853611,9.46825491222227,9.46825491222227,25.151359808658,24.4971294770717,31.2239431279348,24.5872000425224,24.3990235385877,24.7841402969208,36.6473414385542,25.089439459922,30.6230225322832,25.055184332587,29.0436416114136,25.5731133153311,31.2197773443075,25.7603182323902,30.7797836589406,26.1038163536655,30.7751716700763,26.0960989589674
"12","North_Yarmouth",0.956272924318531,0.0776219100981852,0.0033572726536732,0.000529370373138861,15.525386134727,15.525386134727,5.62535055757977,1.56043523951881,12.6281427502362,1.56524837010495,8.63127108559371,1.57135557427672,17.6368309349429,1.58198319265654,15.6441573736705,1.60538859031088,12.6440248794671,1.60177268237126,11.6496215327616,1.61682560313967,12.4742777225719,4.03749855780708,12.4787383607523,4.03707114233965
"13","Portland",0.87735910607711,0.144402465745836,0.000466287139190387,0.000109504156208867,18.4531307423029,18.4531307423029,24.7437235875616,7.2336565560589,26.7462189144259,7.23170114382771,27.7803929639919,7.28260876851901,34.7758329075626,7.27641882223975,33.8170013190274,7.33847390020233,34.828052052284,7.35359539384709,34.9025353872376,7.46331824092068,31.9084720449614,9.38700338682264,31.914838955231,9.38712511841488
"14","Raymond",0.946927611836495,0.0981699270333687,0.00207261368143781,0.000432815493839785,5.05271491933204,5.05271491933204,7.62840761895529,1.70797343974166,9.63586176438114,1.7339077545096,6.64429345850265,1.74650355197402,12.6436686890883,1.74791138513597,14.6465959492321,1.76063310798451,7.64263189501719,1.74535677905693,5.63889405041781,1.73040862032065,9.3427614269518,3.62261981410398,9.32638277359918,3.61925064280614
"15","Scarborough",0.657757213510729,0.223877784912537,0.000899367796199422,0.000406845724310279,14.4762751029492,14.4762751029492,12.2980144287444,7.94309228138598,14.3303416617769,7.98240524803739,17.3062668828732,7.94874292897286,17.300584524055,7.94838151854306,21.43726112882,8.08926337683807,15.6322160241263,8.28663864811424,21.4763662902876,8.12311936412392,17.4450044536425,8.92545397205879,17.4411296525366,8.9287364091322
"16","South_Portland",0.815781520021636,0.190885243548069,0.000472137886471649,0.000172567683933333,12.5812972864977,12.5812972864977,5.89453303679869,4.41978586930736,11.8967149849892,4.40955227575529,13.9394180770464,4.48177331468723,15.9728492037204,4.52092943896557,8.95528057750648,4.50205589134891,15.0725405763498,4.65913117790904,12.0459707566365,4.6236410615527,12.4144150538652,5.74226243245302,12.4008449134319,5.72647524283689
"17","Standish",0.860217584656283,0.165711892859949,0.00169524003974894,0.00051253277122963,12.9559135649756,12.9559135649756,11.0882462163862,5.09841609784809,21.1087352844781,5.12869297693579,17.1427696369951,5.18379047494661,29.1487856886098,5.19059374205093,15.157732289833,5.20253594319979,11.2367381892573,5.32825660999188,14.270320900138,5.38177255853138,17.7181901559964,6.80991381970463,17.7192424446665,6.80858679972331
"18","Windham",0.947097990923394,0.0819016437872453,0.00169751272685658,0.000222189847277878,29.53467891758,29.53467891758,13.7819726274657,3.42981248069546,26.8042974206835,3.47543672469203,26.8054879483081,3.47751407213023,35.8232930570157,3.50549899811761,35.8412613832203,3.53866816512316,28.878568582552,3.59883485148882,38.9018702804941,3.65332133749148,30.7498643854621,6.85692222405361,30.7576988253141,6.84511737019091
"19","Yarmouth",0.940469541526989,0.0977151503396532,0.00132763891683721,0.000251864712451494,13.7155527072502,13.7155527072502,4.81525219503531,1.88063232407255,7.8088555093106,1.87196489455405,12.8109053290513,1.87591554378856,13.819565457417,1.88725441619215,12.8239651290618,1.89588844387765,8.80799141667987,1.86405747882212,15.8224313646423,1.89537249397129,11.2037194387238,3.9775417537906,11.2076702622521,3.95801216062669
"20","Baldwin",0.461990450284156,0.377819683264401,0.500047521224031,0.288683219978262,1.07490631249407,1.07490631249407,762.559797047893,440.532627139577,760.589891944218,439.378193618916,760.05548462308,439.08659266562,771.568494717931,445.720177691294,780.57328597741,450.915618119332,783.556789079398,452.664159152701,795.080660096,459.292666225983,795.062846928581,459.293851783925,795.074678141869,459.296027821631
