system:time_start,vpd
7-Jan-09,0.156
8-Jan-09,0.191
9-Jan-09,0.128
10-Jan-09,0.112
11-Jan-09,0.103
12-Jan-09,0.11
13-Jan-09,0.132
14-Jan-09,0.236
15-Jan-09,0.078
16-Jan-09,0.077
17-Jan-09,0.106
18-Jan-09,0.107
19-Jan-09,0.153
20-Jan-09,0.142
21-Jan-09,0.131
22-Jan-09,0.158
23-Jan-09,0.151
24-Jan-09,0.191
25-Jan-09,0.112
26-Jan-09,0.119
27-Jan-09,0.149
28-Jan-09,0.135
29-Jan-09,0.214
30-Jan-09,0.233
31-Jan-09,0.227
1-Feb-09,0.263
2-Feb-09,0.293
3-Feb-09,0.215
4-Feb-09,0.163
5-Feb-09,0.136
6-Feb-09,0.16
7-Feb-09,0.165
8-Feb-09,0.235
9-Feb-09,0.198
10-Feb-09,0.173
11-Feb-09,0.182
12-Feb-09,0.242
13-Feb-09,0.292
14-Feb-09,0.217
15-Feb-09,0.196
16-Feb-09,0.211
17-Feb-09,0.243
18-Feb-09,0.222
19-Feb-09,0.195
20-Feb-09,0.231
21-Feb-09,0.238
22-Feb-09,0.176
23-Feb-09,0.229
24-Feb-09,0.198
25-Feb-09,0.211
26-Feb-09,0.155
27-Feb-09,0.199
28-Feb-09,0.236
1-Mar-09,0.13
2-Mar-09,0.126
3-Mar-09,0.128
4-Mar-09,0.159
5-Mar-09,0.188
6-Mar-09,0.12
7-Mar-09,0.341
8-Mar-09,0.355
9-Mar-09,0.247
10-Mar-09,0.263
11-Mar-09,0.23
12-Mar-09,0.31
13-Mar-09,0.233
14-Mar-09,0.371
15-Mar-09,0.489
16-Mar-09,0.333
17-Mar-09,0.368
18-Mar-09,0.347
19-Mar-09,0.44
20-Mar-09,0.402
21-Mar-09,0.436
22-Mar-09,0.368
23-Mar-09,0.322
24-Mar-09,0.335
25-Mar-09,0.539
26-Mar-09,0.464
27-Mar-09,0.445
28-Mar-09,0.415
29-Mar-09,0.191
30-Mar-09,0.265
31-Mar-09,0.441
1-Apr-09,0.365
2-Apr-09,0.503
3-Apr-09,0.364
4-Apr-09,0.429
5-Apr-09,0.479
6-Apr-09,0.348
7-Apr-09,0.522
8-Apr-09,0.412
9-Apr-09,0.588
10-Apr-09,0.726
11-Apr-09,0.475
12-Apr-09,0.461
13-Apr-09,0.559
14-Apr-09,0.648
15-Apr-09,0.682
16-Apr-09,0.683
17-Apr-09,0.833
18-Apr-09,0.717
19-Apr-09,0.663
20-Apr-09,0.533
21-Apr-09,0.339
22-Apr-09,0.654
23-Apr-09,0.629
24-Apr-09,0.842
25-Apr-09,0.846
26-Apr-09,1.134
27-Apr-09,0.685
28-Apr-09,1.448
29-Apr-09,0.841
30-Apr-09,0.862
1-May-09,0.663
2-May-09,0.678
3-May-09,0.742
4-May-09,0.811
5-May-09,0.398
6-May-09,0.478
7-May-09,0.4
8-May-09,0.752
9-May-09,0.61
10-May-09,0.52
11-May-09,0.593
12-May-09,0.707
13-May-09,0.807
14-May-09,0.439
15-May-09,0.838
16-May-09,0.514
17-May-09,0.594
18-May-09,0.612
19-May-09,0.714
20-May-09,0.919
21-May-09,1.245
22-May-09,1.223
23-May-09,0.686
24-May-09,0.881
25-May-09,0.838
26-May-09,0.615
27-May-09,0.337
28-May-09,0.336
29-May-09,0.381
30-May-09,0.749
31-May-09,0.683
1-Jun-09,0.591
2-Jun-09,0.727
3-Jun-09,0.845
4-Jun-09,0.775
5-Jun-09,0.541
6-Jun-09,0.495
7-Jun-09,0.818
8-Jun-09,0.781
9-Jun-09,0.437
10-Jun-09,0.45
11-Jun-09,0.348
12-Jun-09,0.481
13-Jun-09,0.763
14-Jun-09,0.399
15-Jun-09,0.406
16-Jun-09,0.649
17-Jun-09,0.72
18-Jun-09,0.45
19-Jun-09,0.351
20-Jun-09,0.437
21-Jun-09,0.432
22-Jun-09,0.469
23-Jun-09,0.431
24-Jun-09,0.519
25-Jun-09,0.569
26-Jun-09,0.49
27-Jun-09,0.551
28-Jun-09,0.43
29-Jun-09,0.374
30-Jun-09,0.452
1-Jul-09,0.447
2-Jul-09,0.422
3-Jul-09,0.511
4-Jul-09,0.636
5-Jul-09,0.553
6-Jul-09,0.719
7-Jul-09,0.356
8-Jul-09,0.335
9-Jul-09,0.674
10-Jul-09,0.729
11-Jul-09,0.518
12-Jul-09,0.703
13-Jul-09,0.698
14-Jul-09,0.699
15-Jul-09,0.758
16-Jul-09,0.474
17-Jul-09,0.647
18-Jul-09,0.525
19-Jul-09,0.947
20-Jul-09,0.91
21-Jul-09,0.465
22-Jul-09,0.638
23-Jul-09,0.589
24-Jul-09,0.362
25-Jul-09,0.527
26-Jul-09,0.548
27-Jul-09,0.728
28-Jul-09,0.846
29-Jul-09,0.778
30-Jul-09,0.805
31-Jul-09,0.743
1-Aug-09,0.838
2-Aug-09,0.562
3-Aug-09,0.889
4-Aug-09,0.618
5-Aug-09,0.906
6-Aug-09,0.777
7-Aug-09,0.765
8-Aug-09,0.853
9-Aug-09,0.578
10-Aug-09,0.529
11-Aug-09,0.672
12-Aug-09,0.544
13-Aug-09,0.617
14-Aug-09,0.722
15-Aug-09,0.962
16-Aug-09,1.028
17-Aug-09,1.092
18-Aug-09,1.243
19-Aug-09,1.266
20-Aug-09,1.046
21-Aug-09,0.547
22-Aug-09,0.76
23-Aug-09,0.997
24-Aug-09,0.776
25-Aug-09,0.857
26-Aug-09,0.984
27-Aug-09,0.829
28-Aug-09,0.686
29-Aug-09,0.255
30-Aug-09,0.492
31-Aug-09,0.508
1-Sep-09,0.652
2-Sep-09,0.717
3-Sep-09,0.72
4-Sep-09,0.848
5-Sep-09,0.954
6-Sep-09,0.663
7-Sep-09,0.493
8-Sep-09,0.66
9-Sep-09,0.686
10-Sep-09,0.528
11-Sep-09,0.426
12-Sep-09,0.306
13-Sep-09,0.663
14-Sep-09,0.688
15-Sep-09,0.792
16-Sep-09,0.468
17-Sep-09,0.463
18-Sep-09,0.717
19-Sep-09,0.586
20-Sep-09,0.694
21-Sep-09,0.856
22-Sep-09,0.554
23-Sep-09,0.722
24-Sep-09,0.768
25-Sep-09,0.521
26-Sep-09,0.46
27-Sep-09,0.151
28-Sep-09,0.633
29-Sep-09,0.616
30-Sep-09,0.348
1-Oct-09,0.369
2-Oct-09,0.412
3-Oct-09,0.219
4-Oct-09,0.565
5-Oct-09,0.622
6-Oct-09,0.614
7-Oct-09,0.412
8-Oct-09,0.518
9-Oct-09,0.243
10-Oct-09,0.306
11-Oct-09,0.501
12-Oct-09,0.471
13-Oct-09,0.196
14-Oct-09,0.331
15-Oct-09,0.315
16-Oct-09,0.266
17-Oct-09,0.273
18-Oct-09,0.233
19-Oct-09,0.415
20-Oct-09,0.387
21-Oct-09,0.488
22-Oct-09,0.335
23-Oct-09,0.344
24-Oct-09,0.172
25-Oct-09,0.432
26-Oct-09,0.467
27-Oct-09,0.265
28-Oct-09,0.282
29-Oct-09,0.36
30-Oct-09,0.359
31-Oct-09,0.381
1-Nov-09,0.545
2-Nov-09,0.337
3-Nov-09,0.298
4-Nov-09,0.337
5-Nov-09,0.228
6-Nov-09,0.271
7-Nov-09,0.263
8-Nov-09,0.568
9-Nov-09,0.508
10-Nov-09,0.664
11-Nov-09,0.384
12-Nov-09,0.371
13-Nov-09,0.313
14-Nov-09,0.116
15-Nov-09,0.301
16-Nov-09,0.38
17-Nov-09,0.35
18-Nov-09,0.353
19-Nov-09,0.371
20-Nov-09,0.273
21-Nov-09,0.383
22-Nov-09,0.293
23-Nov-09,0.189
24-Nov-09,0.22
25-Nov-09,0.21
26-Nov-09,0.265
27-Nov-09,0.128
28-Nov-09,0.215
29-Nov-09,0.275
30-Nov-09,0.193
1-Dec-09,0.289
2-Dec-09,0.328
3-Dec-09,0.45
4-Dec-09,0.454
5-Dec-09,0.291
6-Dec-09,0.215
7-Dec-09,0.211
8-Dec-09,0.227
9-Dec-09,0.215
10-Dec-09,0.22
11-Dec-09,0.197
12-Dec-09,0.156
13-Dec-09,0.174
14-Dec-09,0.236
15-Dec-09,0.228
16-Dec-09,0.279
17-Dec-09,0.119
18-Dec-09,0.104
19-Dec-09,0.142
20-Dec-09,0.14
21-Dec-09,0.166
22-Dec-09,0.15
23-Dec-09,0.144
24-Dec-09,0.178
25-Dec-09,0.205
26-Dec-09,0.167
27-Dec-09,0.225
28-Dec-09,0.193
29-Dec-09,0.178
30-Dec-09,0.147
1-Jan-10,0.095
2-Jan-10,0.17
3-Jan-10,0.228
4-Jan-10,0.212
5-Jan-10,0.21
6-Jan-10,0.235
7-Jan-10,0.144
8-Jan-10,0.083
9-Jan-10,0.114
10-Jan-10,0.192
11-Jan-10,0.18
12-Jan-10,0.139
13-Jan-10,0.166
14-Jan-10,0.175
15-Jan-10,0.308
16-Jan-10,0.327
17-Jan-10,0.131
18-Jan-10,0.124
19-Jan-10,0.12
20-Jan-10,0.133
21-Jan-10,0.191
22-Jan-10,0.206
23-Jan-10,0.285
24-Jan-10,0.312
25-Jan-10,0.414
26-Jan-10,0.299
27-Jan-10,0.273
28-Jan-10,0.154
29-Jan-10,0.149
30-Jan-10,0.194
31-Jan-10,0.221
1-Feb-10,0.238
2-Feb-10,0.243
3-Feb-10,0.174
4-Feb-10,0.229
5-Feb-10,0.222
6-Feb-10,0.236
7-Feb-10,0.249
8-Feb-10,0.328
9-Feb-10,0.36
10-Feb-10,0.271
11-Feb-10,0.349
12-Feb-10,0.336
13-Feb-10,0.332
14-Feb-10,0.401
15-Feb-10,0.343
16-Feb-10,0.266
17-Feb-10,0.324
18-Feb-10,0.409
19-Feb-10,0.388
20-Feb-10,0.401
21-Feb-10,0.387
22-Feb-10,0.414
23-Feb-10,0.277
24-Feb-10,0.27
25-Feb-10,0.293
26-Feb-10,0.288
27-Feb-10,0.235
28-Feb-10,0.255
1-Mar-10,0.304
2-Mar-10,0.405
3-Mar-10,0.258
4-Mar-10,0.318
5-Mar-10,0.451
6-Mar-10,0.686
7-Mar-10,0.716
8-Mar-10,0.59
9-Mar-10,0.401
10-Mar-10,0.512
11-Mar-10,0.433
12-Mar-10,0.359
13-Mar-10,0.392
14-Mar-10,0.222
15-Mar-10,0.424
16-Mar-10,0.78
17-Mar-10,0.943
18-Mar-10,0.839
19-Mar-10,0.687
20-Mar-10,0.996
21-Mar-10,0.353
22-Mar-10,0.288
23-Mar-10,0.086
24-Mar-10,0.285
25-Mar-10,0.619
26-Mar-10,0.219
27-Mar-10,0.394
28-Mar-10,0.334
29-Mar-10,0.267
30-Mar-10,0.215
31-Mar-10,0.232
1-Apr-10,0.621
2-Apr-10,0.57
3-Apr-10,0.912
4-Apr-10,0.997
5-Apr-10,0.816
6-Apr-10,0.467
7-Apr-10,1.145
8-Apr-10,0.243
9-Apr-10,0.128
10-Apr-10,0.655
11-Apr-10,0.639
12-Apr-10,0.541
13-Apr-10,0.664
14-Apr-10,0.786
15-Apr-10,0.624
16-Apr-10,0.163
17-Apr-10,0.198
18-Apr-10,0.397
19-Apr-10,0.717
20-Apr-10,0.903
21-Apr-10,0.965
22-Apr-10,0.798
23-Apr-10,0.446
24-Apr-10,0.857
25-Apr-10,0.628
26-Apr-10,0.62
27-Apr-10,0.104
