system:time_start,tmax
17-Jul-09,23.923
18-Jul-09,24.354
19-Jul-09,24.588
20-Jul-09,25.426
21-Jul-09,22.617
22-Jul-09,22.191
23-Jul-09,21.208
24-Jul-09,18.599
25-Jul-09,21.538
26-Jul-09,21.708
27-Jul-09,24.01
28-Jul-09,26.178
29-Jul-09,26.188
30-Jul-09,26.808
31-Jul-09,25.749
1-Aug-09,26
2-Aug-09,22.733
3-Aug-09,24.571
4-Aug-09,25.362
5-Aug-09,27.273
6-Aug-09,25.5
7-Aug-09,24.565
8-Aug-09,23.922
9-Aug-09,22.993
10-Aug-09,26.669
11-Aug-09,25.876
12-Aug-09,23.389
13-Aug-09,21.688
14-Aug-09,25.259
15-Aug-09,28.726
16-Aug-09,29.859
17-Aug-09,30.327
18-Aug-09,30.98
19-Aug-09,31.056
20-Aug-09,28.005
21-Aug-09,26.375
22-Aug-09,26.929
23-Aug-09,28.779
24-Aug-09,27.5
25-Aug-09,25.702
26-Aug-09,26.717
27-Aug-09,24.339
28-Aug-09,20.57
29-Aug-09,17
30-Aug-09,18.751
31-Aug-09,20.966
1-Sep-09,21.54
2-Sep-09,22.5
3-Sep-09,23.502
4-Sep-09,25.514
5-Sep-09,25.449
6-Sep-09,21.5
7-Sep-09,19.5
8-Sep-09,23.5
9-Sep-09,22.684
10-Sep-09,19.052
11-Sep-09,17.604
12-Sep-09,19.008
13-Sep-09,23.232
14-Sep-09,22.705
15-Sep-09,21.908
16-Sep-09,18.731
17-Sep-09,16.919
18-Sep-09,19.135
19-Sep-09,18.391
20-Sep-09,18.417
21-Sep-09,20.553
22-Sep-09,20.934
23-Sep-09,23.538
24-Sep-09,23.239
25-Sep-09,18.201
26-Sep-09,14.545
27-Sep-09,15.434
28-Sep-09,20.085
29-Sep-09,19.574
30-Sep-09,16.73
1-Oct-09,13.493
2-Oct-09,13.034
3-Oct-09,14.419
4-Oct-09,16.489
5-Oct-09,17.649
6-Oct-09,17.5
7-Oct-09,16.113
8-Oct-09,15.34
9-Oct-09,14.01
10-Oct-09,16.236
11-Oct-09,15.204
12-Oct-09,12.539
13-Oct-09,9.398
14-Oct-09,8.409
15-Oct-09,6.651
16-Oct-09,6.93
17-Oct-09,9.135
18-Oct-09,6.5
19-Oct-09,9.771
20-Oct-09,12.971
21-Oct-09,14.734
22-Oct-09,12.099
23-Oct-09,9.201
24-Oct-09,11.478
25-Oct-09,15.577
26-Oct-09,14.609
27-Oct-09,11.357
28-Oct-09,9.267
29-Oct-09,9.408
30-Oct-09,10.98
31-Oct-09,16.063
1-Nov-09,16.626
2-Nov-09,11.962
3-Nov-09,11.864
4-Nov-09,10.218
5-Nov-09,5.339
6-Nov-09,5.931
7-Nov-09,7.482
8-Nov-09,15.047
9-Nov-09,17.237
10-Nov-09,17.117
11-Nov-09,13.056
12-Nov-09,10.671
13-Nov-09,10.045
14-Nov-09,11.805
15-Nov-09,14.908
16-Nov-09,13.955
17-Nov-09,10.129
18-Nov-09,11.036
19-Nov-09,12.17
20-Nov-09,14.861
21-Nov-09,14.024
22-Nov-09,10.334
23-Nov-09,7.368
24-Nov-09,8.338
25-Nov-09,8.221
26-Nov-09,8.463
27-Nov-09,7.979
28-Nov-09,7.707
29-Nov-09,9.736
30-Nov-09,8.297
1-Dec-09,6.563
2-Dec-09,8.169
3-Dec-09,16.405
4-Dec-09,13.31
5-Dec-09,6.545
6-Dec-09,3.137
7-Dec-09,1.414
8-Dec-09,2.549
9-Dec-09,3.493
10-Dec-09,5.391
11-Dec-09,0.961
12-Dec-09,-2.111
13-Dec-09,2.162
14-Dec-09,4.849
15-Dec-09,4.887
16-Dec-09,2.666
17-Dec-09,-7.387
18-Dec-09,-5.984
19-Dec-09,-3.034
20-Dec-09,-3.555
21-Dec-09,-3.012
22-Dec-09,-1.367
23-Dec-09,-3.5
24-Dec-09,4.233
25-Dec-09,2
26-Dec-09,1.597
27-Dec-09,8.36
28-Dec-09,6.938
29-Dec-09,1.743
30-Dec-09,-3.865
31-Dec-09,-2.359
1-Jan-10,0.274
2-Jan-10,-1.491
3-Jan-10,-0.037
4-Jan-10,1.819
5-Jan-10,1.147
6-Jan-10,1.103
7-Jan-10,1.183
8-Jan-10,-1.387
9-Jan-10,-4.428
10-Jan-10,-4.732
11-Jan-10,-1.301
12-Jan-10,-0.976
13-Jan-10,-2.495
14-Jan-10,-1.532
15-Jan-10,3.545
16-Jan-10,6.122
17-Jan-10,4.023
18-Jan-10,-0.72
19-Jan-10,-1.647
20-Jan-10,0.2
21-Jan-10,1.117
22-Jan-10,0.949
23-Jan-10,0.221
24-Jan-10,2
25-Jan-10,8.249
26-Jan-10,9
27-Jan-10,5.799
28-Jan-10,3.604
29-Jan-10,-2.081
30-Jan-10,-6.481
31-Jan-10,-4.252
1-Feb-10,-2.619
2-Feb-10,-2.352
3-Feb-10,-1.47
4-Feb-10,-1.936
5-Feb-10,-1.463
6-Feb-10,-2.859
7-Feb-10,-2.636
8-Feb-10,-0.861
9-Feb-10,3.493
10-Feb-10,2.949
11-Feb-10,3.214
12-Feb-10,3.996
13-Feb-10,3.488
14-Feb-10,3.403
15-Feb-10,3.428
16-Feb-10,2.5
17-Feb-10,3.521
18-Feb-10,7.148
19-Feb-10,6.075
20-Feb-10,7.081
21-Feb-10,5.624
22-Feb-10,5.743
23-Feb-10,4.948
24-Feb-10,3.395
25-Feb-10,4.275
26-Feb-10,6.251
27-Feb-10,5.5
28-Feb-10,4.167
1-Mar-10,5.272
2-Mar-10,7.016
3-Mar-10,5.025
4-Mar-10,3.538
5-Mar-10,5.908
6-Mar-10,10.324
7-Mar-10,12.948
8-Mar-10,12.993
9-Mar-10,9.838
10-Mar-10,7.66
11-Mar-10,7.535
12-Mar-10,7.619
13-Mar-10,7.509
14-Mar-10,5.837
15-Mar-10,7.71
16-Mar-10,12.404
17-Mar-10,15.347
18-Mar-10,16.614
19-Mar-10,15.011
20-Mar-10,17.814
21-Mar-10,14.554
22-Mar-10,9.062
23-Mar-10,7.366
24-Mar-10,5.682
25-Mar-10,10.363
26-Mar-10,9.777
27-Mar-10,2.056
28-Mar-10,3.869
29-Mar-10,7.5
30-Mar-10,8.769
1-Apr-10,13.73
2-Apr-10,14.98
3-Apr-10,15.621
4-Apr-10,20.925
5-Apr-10,20.983
6-Apr-10,16.531
7-Apr-10,20.953
8-Apr-10,17.704
9-Apr-10,11.363
10-Apr-10,11.641
11-Apr-10,14.566
12-Apr-10,14.079
13-Apr-10,12.565
14-Apr-10,15.5
15-Apr-10,14.468
16-Apr-10,9.346
17-Apr-10,5.5
18-Apr-10,7.244
19-Apr-10,12.493
20-Apr-10,17.28
21-Apr-10,18.435
22-Apr-10,18.564
23-Apr-10,15.944
24-Apr-10,16.562
25-Apr-10,17.555
26-Apr-10,16.058
27-Apr-10,12.02
28-Apr-10,8.28
29-Apr-10,10.313
30-Apr-10,16.631
1-May-10,22.5
2-May-10,23.473
3-May-10,24.901
4-May-10,25.455
5-May-10,23.649
6-May-10,22.432
7-May-10,20.728
8-May-10,15.068
9-May-10,9.773
10-May-10,10.138
11-May-10,12.718
12-May-10,14.928
13-May-10,18
14-May-10,17.857
15-May-10,18.5
16-May-10,20.524
17-May-10,21.143
18-May-10,19.25
19-May-10,14.491
20-May-10,20.783
21-May-10,23.913
22-May-10,19.517
23-May-10,19.282
24-May-10,23.34
25-May-10,28.507
26-May-10,31.089
27-May-10,26.211
28-May-10,21.98
29-May-10,21.554
30-May-10,23.608
31-May-10,22.516
1-Jun-10,20.709
2-Jun-10,18.276
3-Jun-10,16.839
4-Jun-10,20.651
5-Jun-10,23.081
6-Jun-10,20.44
7-Jun-10,19.84
8-Jun-10,21
9-Jun-10,20.572
10-Jun-10,17.813
11-Jun-10,17.95
12-Jun-10,20.302
13-Jun-10,18.347
14-Jun-10,19.15
15-Jun-10,22.476
16-Jun-10,22.005
