system:time_start,ppt
25-Aug-09,14.313
26-Aug-09,0
27-Aug-09,0
28-Aug-09,0
29-Aug-09,11.88
30-Aug-09,28.587
31-Aug-09,0.164
1-Sep-09,0
2-Sep-09,0
3-Sep-09,0
4-Sep-09,0
5-Sep-09,0
6-Sep-09,0
7-Sep-09,0
8-Sep-09,0
9-Sep-09,0
10-Sep-09,0
11-Sep-09,0
12-Sep-09,0
13-Sep-09,1.189
14-Sep-09,2.496
15-Sep-09,0.01
16-Sep-09,0
17-Sep-09,0
18-Sep-09,0
19-Sep-09,0
20-Sep-09,0
21-Sep-09,0
22-Sep-09,0
23-Sep-09,0
24-Sep-09,0.565
25-Sep-09,0
26-Sep-09,0
27-Sep-09,0.607
28-Sep-09,23.125
29-Sep-09,12.142
30-Sep-09,0
1-Oct-09,0
2-Oct-09,0
3-Oct-09,0.396
4-Oct-09,28.534
5-Oct-09,0
6-Oct-09,0.572
7-Oct-09,4.563
8-Oct-09,17.13
9-Oct-09,0
10-Oct-09,4.999
11-Oct-09,0
12-Oct-09,0
13-Oct-09,2.42
14-Oct-09,3.754
15-Oct-09,0
16-Oct-09,0
17-Oct-09,0
18-Oct-09,0
19-Oct-09,15.225
20-Oct-09,0
21-Oct-09,0
22-Oct-09,1.141
23-Oct-09,0.002
24-Oct-09,5.162
25-Oct-09,29.024
26-Oct-09,0
27-Oct-09,0
28-Oct-09,0
29-Oct-09,0.318
30-Oct-09,0
31-Oct-09,0.253
1-Nov-09,2.074
2-Nov-09,0
3-Nov-09,0
4-Nov-09,0
5-Nov-09,0.338
6-Nov-09,5.64
7-Nov-09,0
8-Nov-09,0
9-Nov-09,0
10-Nov-09,0
11-Nov-09,0
12-Nov-09,0
13-Nov-09,0
14-Nov-09,0
15-Nov-09,96.415
16-Nov-09,0
17-Nov-09,0
18-Nov-09,0
19-Nov-09,0
20-Nov-09,0.014
21-Nov-09,5.752
22-Nov-09,0
23-Nov-09,0
24-Nov-09,0
25-Nov-09,0.046
26-Nov-09,1.459
27-Nov-09,0.479
28-Nov-09,29.509
29-Nov-09,0.049
30-Nov-09,0
1-Dec-09,3.515
2-Dec-09,0
3-Dec-09,22.93
4-Dec-09,12.254
5-Dec-09,0
6-Dec-09,10.595
7-Dec-09,0
8-Dec-09,0
9-Dec-09,0
10-Dec-09,36.282
11-Dec-09,0
12-Dec-09,0
13-Dec-09,0
14-Dec-09,19.34
15-Dec-09,0.002
16-Dec-09,0
17-Dec-09,0
18-Dec-09,0
19-Dec-09,0
20-Dec-09,0
21-Dec-09,4.634
22-Dec-09,0.551
23-Dec-09,0
24-Dec-09,0.066
25-Dec-09,0
26-Dec-09,0
27-Dec-09,6.07
28-Dec-09,29.842
29-Dec-09,4.412
30-Dec-09,0
31-Dec-09,0
1-Jan-10,7.392
2-Jan-10,5.156
3-Jan-10,17.514
4-Jan-10,2.067
5-Jan-10,0
6-Jan-10,0
7-Jan-10,0
8-Jan-10,0
9-Jan-10,0.048
10-Jan-10,0
11-Jan-10,0
12-Jan-10,0
13-Jan-10,0
14-Jan-10,0
15-Jan-10,0
16-Jan-10,0
17-Jan-10,0
18-Jan-10,18.793
19-Jan-10,6.282
20-Jan-10,14.827
21-Jan-10,0.704
22-Jan-10,0
